1950's,,,,,,,,,,,
,Author,Title,Year,Series,Source,Added,Lot,When Read,Score,,decade
,,,,,,,,,,,
,"Asimov, Isaac","I, Robot",1950,Robot 1,,,,,8,,0.68
,"Bradbury, Ray",The Martian Chronicles,1950,ss,,,,,10,,
,"Clement, Hal",Needle,1950,,,,lib,Feb-19,5,,
,"Heinlein, Robert A.",The Man Who Sold the Moon,1950,,,,PDX BOX,,0,,
,"Merril, Judith",Shadow on the Hearth,1950,,,,BOX 25,,,,
,"Smith, E.E.",Galactic Patrol,1950,,,,,,,,
,"Sturgeon, Theodore",The Dreaming Jewels,1950,,,,lib,Sep-19,8,,
,"van Vogt, A.E.",The Voyage of the Space Beagle,1950,ss,,,,,7,,
,"Vance, Jack",The Dying Earth,1950,,,,,,8,,
,,,,,,,,,,,
,"Asimov, Isaac",Foundation,1951,Found 1,,,,,9,,
,"Bradbury, Ray",The Illustrated Man,1951,,,,,,8,,
,"Clarke, Arthur C.",Prelude to Space,1951,,,,,,3,,
,"de Camp, L. Sprague",Rogue Queen,1951,,,,,,6,,
,"Heinlein, Robert A.",The Puppet Masters,1951,,,,,,8,,
,"Russell, Eric Frank",Dreadful Sanctuary,1951,,,,,,7,,
,"Smith, E.E.",Gray Lensman,1951,,,,,,,,
,"van Vogt, A.E.",The Weapon Shops of Isher,1951,Ish 1,,,,,5,,
,"Wylie, Philip",The Disappearance,1951,,,,EGGO 4,,,,
,"Wyndham, John",The Day of the Triffids,1951,,,,,,5,,
,,,,,,,,,,,
,"Asimov, Isaac",Foundation and Empire,1952,Found 2,,,,,8,,
,"Blish, James",Jack of Eagles,1952,,,,,,4,,
,"Jones, Raymond F.",This Island Earth,1952,,,,kindle,,,,
,Kornbluth. C.M.,Takeoff,1952,,,,,,4,,
,"Moore, C.L.",Judgement Night,1952,,,,BOB 9,,,,
,Sarban,The Sound of his Horn,1952,,,,,,10,,
,"Simak, Clifford D.",City,1952,,,,,,6,,
,"van Vogt, A.E.",Destination: Universe,1952,,,,,,0,,
