,,,,,,,,
,Author,Title,Year,Series,Source,Added,Lot,
,,,,,,,,The Planet of No Return
,"Delany, Samuel R.",Dhalgren,1975,,SFE,Jul-98,BS,
,,,,,,,,
,"Budrys, Algis",The Amsirs and the Iron Thorn,1967,,SFE,Jul-15,GRN 1,
,"Bujold, Lois McMaster",Cryoburn,2010,Vor 15,auth,Jul-98,GRN 1,
,"Griffith, Nicola",Ammonite,1993,,101,Aug-13,GRN 1,
,"Gunn, James E.",This Fortress World,1955,,AQ Rev,Aug-14,GRN 1,
,"Haldeman, Joe",Camouflage,2004,,auth,Feb-17,GRN 1,
,"Harrison, Harry",The Planet of No Return,1981,PotD 2,ser,Aug-16,GRN 1,
,"Holdstock, Robert",Where Time Winds Blow,1981,,TIE,Jul-98,GRN 1,
,"King, Stephen",The Colorado Kid,2005,,HCC,Feb-17,GRN 1,
,"Martin, George RR / Tuttle",Windhaven,1981,,Harris,Aug-13,GRN 1,
,"Novik, Naomi",His Majesty's Dragon,2006,,101,Aug-13,GRN 1,
,"Shaw, Bob",The Ragged Astronauts,1986,RA 1,auth,Aug-13,GRN 1,
,"Shaw, Bob",The Wooden Spaceships,1987,RA 2,auth,Aug-13,GRN 1,
,"Shaw, Bob",The Fugitive Worlds,1989,RA 3,auth,Aug-13,GRN 1,
,"Silverberg, Robert",To the Land of the Living,1989,Gilg 2,auth,Jun-17,GRN 1,
,"Spinrad, Norman",Agent of Chaos,1967,,Obs?,Oct-13,GRN 1,
,"Tucker, Wilson",The Lincoln Hunters,1968,Ace SF 1,SFE,Aug-13,GRN 1,
,,,,,,,,
,"Anderson, Chester",The Butterfly Kid,1967,,hugo,Feb-21,BOB XXI,
,"Anderson, Poul",Twilight World,1961,ss,auth,May-21,BOB XXI,
,"Bishop, Michael",Close Encounters with the Deity,1986,ss,auth,May-17,BOB XXI,
,"Fitzgerald, F. Scott",The Great Gatsby,1925,,2nd att,May-21,BOB XXI,
,"Piserchia, Doris",Star Rider,1974,,bradfield,Jun-20,BOB XXI,
,"Schenck, Hilbert",Wave Rider,1980,,odd sf,Aug-14,BOB XXI,
,"Sheckley, Robert",Shards of Space,1962,ss,auth,May-21,BOB XXI,
,"Sheckley, Robert",The People Trap,1968,ss,sf rum,Jul-13,BOB XXI,
,"Shaw, Bob",Who Goes Here?,1986,Warren 1,auth,May-21,BOB XXI,
,,,,,,,,
,"Austen, Jane",Sense and Sensibility,1811,,lit,Jul-21,BOX 3,
,"Cheever, John",Bullet Park,1969,,lit,Jul-21,BOX 3,
,"Greenland, Colin",Take Back Plenty,1990,,TIE,Jul-98,BOX 3,
,"Haldeman, Joe",All My Sins Remembered,1979,,TIE,Jul-98,BOX 3,
,"Haldeman, Joe",Worlds,1981,Worlds 1,TIE,Jul-98,BOX 3,
,"Haldeman, Joe",Forever Peace,1997,,TIE,Jul-98,BOX 3,
,"Lem, Stanislaw",His Master's Voice,1968,,TIE,Jul-98,BOX 3,
,"Turner, George",Drowning Towers (The Sea and Summer),1988,,sf potp,Aug-13,BOX 3,
,"Watson, Ian",The Embedding,1973,,Pringle,Jan-01,BOX 3,
,"Watson, Ian",The Jonah Kit,1976,,TIE,Jul-98,BOX 3,
,"White, James",Major Operation,1971,SG 3,ser,Nov-99,BOX 3,
,"White, James",Ambulance Ship,1973,SG 4,ser,Nov-99,BOX 3,
,"White, James",Futures Past,1982,ss,auth,Nov-99,BOX 3,
,"White, James",Star Healer,1984,SG 5,ser,Nov-99,BOX 3,
,"White, James",Code Blue Emergency,1987,SG 6,ser,Nov-99,BOX 3,
,"White, James",Federation World,1988,SG 8,ser,Nov-99,BOX 3,
,"White, James",The Galactic Gourmet,1996,SG 9,ser,Nov-99,BOX 3,
,"White, James",Final Diagnosis,1997,SG 10,ser,Nov-99,BOX 3,
,"White, James",Mind Changer,1998,SG 11,ser,Nov-99,BOX 3,
,"White, James",Double Contact,1999,SG 12,ser,Nov-99,BOX 3,
,,,,,,,,
,"Hodgson, William Hope","The Boats of the ""Glen Carrig""",1907,,Zebrowski,Jul-15,kindle,
,"Brunner, John",The Avengers of Carrig,1969,,sf potp,Aug-14,BOB 5,
